LBFT X,LBFT Y,LBFT Z,LLAN X,LLAN Y,LLAN Z,LMAN X,LMAN Y,LMAN Z,RBFT X,RBFT Y,RBFT Z,RLAN X,RLAN Y,RLAN Z,RMAN X,RMAN Y,RMAN Z
-980.9428711,83.76613617,-751.7205811,-924.7512817,118.6543732,-796.0806274,-896.5040894,112.1000366,-721.048645,-968.8927002,87.94941711,-476.0559692,-921.732605,124.5206528,-433.6948547,-882.6385498,117.3883133,-503.5536499
-980.9592896,83.74775696,-751.7178955,-924.7354126,118.6188049,-796.0618286,-896.5100708,112.0886307,-721.0352173,-968.9199219,87.95189667,-476.0699158,-921.7254028,124.5314026,-433.685791,-882.6433105,117.3971405,-503.5503845
-980.9512939,83.76278687,-751.7131348,-924.739624,118.6249847,-796.1022949,-896.5174561,112.0790558,-721.0393677,-968.9035645,87.94298553,-476.0689697,-921.7329102,124.5144272,-433.68396,-882.6575928,117.3841095,-503.5525208
-980.9710083,83.74681854,-751.7208252,-924.7307739,118.6038208,-796.0831909,-896.5131226,112.1020737,-721.0477905,-968.9104614,87.95016479,-476.0635681,-921.7286377,124.5028305,-433.6991272,-882.6542358,117.391243,-503.5653992
-980.9571533,83.75286865,-751.7327271,-924.7134399,118.6255341,-796.0828247,-896.4954834,112.0876846,-721.0501709,-968.914856,87.93306732,-476.0657043,-921.7322998,124.501442,-433.6860046,-882.6652222,117.4067459,-503.559082
-980.9606323,83.72985077,-751.7365112,-924.7095947,118.5699997,-796.0881958,-896.510498,112.0708694,-721.0423584,-968.9091187,87.90950012,-476.0575562,-921.7484131,124.5141983,-433.6785278,-882.6868286,117.4049377,-503.575592
-980.9627075,83.72499084,-751.7576294,-924.6970825,118.556427,-796.0855713,-896.522644,112.0911865,-721.0427246,-968.9445801,87.92978668,-476.0649719,-921.7497559,124.4894943,-433.675354,-882.6740723,117.3925552,-503.5569458
-980.9597168,83.71624756,-751.7425537,-924.694519,118.5734177,-796.1027222,-896.5286865,112.0806274,-721.0328979,-968.9365845,87.90651703,-476.0718079,-921.7704468,124.4931107,-433.67276,-882.6694336,117.3854065,-503.5528259
-980.9606934,83.72261047,-751.7587891,-924.6604614,118.5446396,-796.0808105,-896.5280762,112.0646362,-721.0615845,-968.9428711,87.91443634,-476.0888672,-921.7894287,124.4610367,-433.6662292,-882.6890869,117.3744965,-503.5631409
-980.9611206,83.71496582,-751.7577515,-924.6500854,118.5615158,-796.083313,-896.5455933,112.0804672,-721.0476074,-968.9257813,87.88440704,-476.09729,-921.7900391,124.4595413,-433.6852112,-882.6835938,117.3950043,-503.5515747
-980.9680176,83.72194672,-751.7454834,-924.6212769,118.6156616,-796.104126,-896.5422974,112.0790787,-721.0491943,-968.9434204,87.8928833,-476.0858154,-921.7929688,124.4688492,-433.6578064,-882.6796265,117.4254761,-503.5473328
-980.956604,83.71451569,-751.7512817,-924.6846924,118.6001129,-796.1030884,-896.5438232,112.0671387,-721.0480347,-968.9259033,87.87760162,-476.1072083,-921.7908325,124.4634018,-433.6706238,-882.6559448,117.4260712,-503.5421753
-980.9632568,83.72966766,-751.7433472,-924.6526489,118.5733032,-796.0955811,-896.5496216,112.0700226,-721.0249023,-968.9552612,87.90267181,-476.0827026,-921.7905273,124.4833221,-433.6474609,-882.6750488,117.4158478,-503.5456238
-980.9562988,83.70107269,-751.7456665,-924.6118774,118.5688629,-796.0700684,-896.5546875,112.0843658,-721.038208,-968.9494019,87.89285278,-476.0930176,-921.7842407,124.4675827,-433.6494141,-882.6781616,117.3895035,-503.5302429
-980.9487305,83.70308685,-751.7531128,-924.6605225,118.5863495,-796.0984497,-896.539917,112.0775528,-721.0546875,-968.9623413,87.8955307,-476.0891724,-921.7835693,124.4737778,-433.6395264,-882.6878052,117.4069366,-503.5449524
-980.9622803,83.71070099,-751.7641602,-924.632019,118.5675354,-796.0974121,-896.5368042,112.0801163,-721.0549316,-968.9501343,87.883461,-476.096405,-921.769104,124.4834213,-433.6457825,-882.6557007,117.3932495,-503.5470581
-980.949585,83.7070694,-751.767334,-924.6018066,118.5656815,-796.1152954,-896.5330811,112.0774765,-721.0708008,-968.9333496,87.90490723,-476.0917053,-921.7747803,124.4826279,-433.6474915,-882.6856689,117.3959579,-503.5840759
-980.9499512,83.72566986,-751.7559204,-924.6124268,118.5668869,-796.1154175,-896.5488281,112.0909348,-721.0806885,-968.9321289,87.91590118,-476.1003723,-921.7593384,124.4858932,-433.6575928,-882.6680298,117.42556,-503.5724487
-980.9486694,83.72598267,-751.7584229,-924.5910645,118.5352631,-796.0756226,-896.5497437,112.0821533,-721.0771484,-968.9213867,87.90142822,-476.1167908,-921.7775269,124.4987793,-433.6696777,-882.6602173,117.4045334,-503.5773315
-980.9483032,83.73190308,-751.75354,-924.6538086,118.5665741,-796.0992432,-896.5422363,112.0708771,-721.0923462,-968.9338379,87.90996552,-476.1123657,-921.7592163,124.4978867,-433.6644897,-882.6464844,117.4071045,-503.5559998
-980.9404907,83.71416473,-751.7785034,-924.6148071,118.5499954,-796.1119995,-896.5509033,112.0914536,-721.0864258,-968.9451294,87.94197083,-476.1024475,-921.7537842,124.503334,-433.7080994,-882.6278076,117.4100037,-503.5649414
-980.9447632,83.71577454,-751.7764282,-924.6112061,118.5494614,-796.1517334,-896.5595093,112.0871353,-721.1018066,-968.930603,87.92199707,-476.1047363,-921.7227783,124.5339279,-433.696991,-882.6469116,117.4069366,-503.5964661
-980.9404297,83.72927094,-751.7723389,-924.6342163,118.534996,-796.1166992,-896.5349121,112.0701294,-721.0957031,-968.9334106,87.9460144,-476.0818787,-921.7299805,124.5158234,-433.7018127,-882.6072388,117.4189682,-503.580719
-980.925415,83.72451782,-751.7741699,-924.6430664,118.5663834,-796.1325073,-896.5353394,112.0883026,-721.1002808,-968.9238281,87.96543884,-476.0793762,-921.7157593,124.5419922,-433.6881104,-882.6119995,117.4072647,-503.5740356
-980.909668,83.74214172,-751.7815552,-924.6565552,118.5874023,-796.1538086,-896.5284424,112.0963135,-721.0957031,-968.9008789,87.9377594,-476.0921936,-921.7176514,124.5324326,-433.6923828,-882.605957,117.4185715,-503.5708923
-980.9312134,83.74875641,-751.7602539,-924.6204834,118.5581741,-796.130249,-896.5545654,112.1002579,-721.0946045,-968.9257202,87.95415497,-476.0860901,-921.7260132,124.5342102,-433.7000732,-882.607666,117.4221115,-503.5767212
-980.9312744,83.75955963,-751.7623901,-924.6139526,118.5801468,-796.1395264,-896.5253296,112.1011505,-721.1000977,-968.9071655,87.95095062,-476.0975037,-921.7051392,124.5401154,-433.6999207,-882.6141357,117.4129868,-503.5997314
-980.9225464,83.73802185,-751.7634888,-924.6133423,118.5542297,-796.119812,-896.5336304,112.0998154,-721.1080933,-968.9319458,87.98215485,-476.086731,-921.7105103,124.5448303,-433.7311707,-882.6135254,117.4228516,-503.6009216
-980.9237671,83.75492096,-751.7529297,-924.5946655,118.5971146,-796.173584,-896.5375366,112.1179199,-721.1135864,-968.9155884,87.95840454,-476.0930176,-921.7072144,124.5449066,-433.7314758,-882.5968628,117.4310684,-503.6089172
-980.9194946,83.74985504,-751.78479,-924.5935059,118.605217,-796.1755371,-896.5276489,112.1112061,-721.0944824,-968.9257813,87.97113037,-476.0929871,-921.6929321,124.5599747,-433.7290649,-882.5814819,117.4137344,-503.607605
