X3,Y3,Z3
-2073.415039,664.9200439,-764.7418213
-2073.369629,664.8901367,-764.7985229
-2073.347168,664.8590698,-764.8592529
-2073.335693,664.8267822,-764.9209595
-2073.325684,664.7939453,-764.982666
-2073.311035,664.762146,-765.0443726
-2073.286377,664.7332764,-765.1062012
-2073.249756,664.7084961,-765.1682739
-2073.199707,664.6884155,-765.2307129
-2073.137207,664.6724243,-765.2932129
-2073.064941,664.6586914,-765.3545532
-2072.986084,664.644104,-765.4124146
-2072.9021,664.6251221,-765.4644165
-2072.813721,664.598999,-765.5088501
-2072.720947,664.5635376,-765.5448608
-2072.624512,664.5184937,-765.5726318
-2072.527588,664.4647217,-765.5933838
-2072.432617,664.4041748,-765.6083984
-2072.342285,664.3383789,-765.6182251
-2072.258301,664.2683716,-765.6226196
-2072.180664,664.1948242,-765.6219482
-2072.107666,664.1184082,-765.6169434
-2072.037354,664.0407104,-765.6092529
-2071.966553,663.9648438,-765.6002197
-2071.892822,663.8946533,-765.5905762
-2071.815674,663.8325195,-765.5795898
-2071.73584,663.7775269,-765.5656128
-2071.655273,663.7277222,-765.5474854
-2071.574707,663.6821289,-765.5266113
-2071.493408,663.6401978,-765.5053711
-2071.412598,663.6010132,-765.4858398
-2071.332275,663.5637207,-765.4686279
-2071.25293,663.5275879,-765.4539185
-2071.175049,663.4920044,-765.4420166
-2071.098389,663.4570923,-765.43396
-2071.024414,663.4233398,-765.430542
-2070.952393,663.3914795,-765.4318237
-2070.880859,663.3621826,-765.4362183
-2070.807373,663.3358154,-765.4408569
-2070.72876,663.312439,-765.442627
-2070.640625,663.2921143,-765.4398804
-2070.537109,663.2753296,-765.432373
-2070.40918,663.2639771,-765.4206543
-2070.248047,663.2602539,-765.4058228
-2070.049561,663.2654419,-765.3894653
-2069.81665,663.2797852,-765.3735352
-2069.556641,663.3033447,-765.3602295
-2069.279053,663.3359375,-765.3512573
-2068.994629,663.37677,-765.3474731
-2068.713379,663.423584,-765.3475342
-2068.444336,663.4719238,-765.3482666
-2068.195557,663.515686,-765.34552
-2067.972656,663.5492554,-765.336853
-2067.779053,663.5690308,-765.3227539
-2067.615723,663.574646,-765.3060303
-2067.481934,663.5679321,-765.2897949
-2067.376221,663.5526733,-765.2766113
-2067.295898,663.5332031,-765.2678223
-2067.238525,663.5137329,-765.2636108
-2067.200684,663.4974365,-765.2637939
-2067.18042,663.4854736,-765.2677002
-2067.176758,663.4780884,-765.274292
-2067.187988,663.4744263,-765.2826538
-2067.212402,663.4732056,-765.2914429
-2067.248779,663.4732056,-765.2994385
-2067.294922,663.473999,-765.3063965
-2067.349609,663.4759521,-765.3121948
-2067.411133,663.4800415,-765.3170166
-2067.477539,663.4875488,-765.3203125
-2067.547119,663.4989624,-765.3207397
-2067.617676,663.5144653,-765.3165283
-2067.687988,663.5332031,-765.3062744
-2067.755371,663.5536499,-765.2889404
-2067.820313,663.5734863,-765.2641602
-2067.88208,663.5904541,-765.2320557
-2067.941406,663.6027222,-765.1933594
-2067.998047,663.6097412,-765.1497803
-2068.052246,663.6120605,-765.1039429
-2068.103027,663.6109619,-765.0591431
-2068.150879,663.6067505,-765.017395
-2068.19751,663.5984497,-764.9785767
-2068.243408,663.5858765,-764.9420166
-2068.287842,663.5715942,-764.9093018
-2068.327881,663.5603027,-764.8833008
-2068.36084,663.5545044,-764.8654175
-2068.385742,663.5527344,-764.8536987
-2068.402344,663.550415,-764.8442383
-2068.411865,663.543396,-764.8342896
-2068.415039,663.5305176,-764.8236084
-2068.412354,663.5126343,-764.8133545
-2068.405029,663.491333,-764.8045044
-2068.39502,663.4686279,-764.7973633
-2068.384521,663.4467773,-764.791748
-2068.376465,663.4276733,-764.7875977
-2068.373047,663.4127197,-764.784668
-2068.375977,663.4022827,-764.7827759
-2068.385742,663.3961182,-764.7819214
-2068.401855,663.3938599,-764.7825317
-2068.424316,663.3951416,-764.7850342
-2068.452393,663.3995972,-764.7894897
-2068.486084,663.4069824,-764.7959595
-2068.524902,663.4174805,-764.8041992
-2068.568604,663.4312134,-764.8139038
-2068.615967,663.447937,-764.8248291
-2068.66626,663.4679565,-764.8370972
-2068.718018,663.491333,-764.8517456
-2068.769531,663.5183105,-764.8704834
-2068.820313,663.5487061,-764.8946533
-2068.869873,663.5819092,-764.9239502
-2068.918701,663.6160889,-764.9556885
-2068.968018,663.6479492,-764.9851074
-2069.019043,663.6749878,-765.0083618
-2069.072266,663.6964111,-765.024292
-2069.127197,663.7138672,-765.0346069
-2069.18335,663.7293701,-765.0423584
-2069.239014,663.7446289,-765.0499878
-2069.293457,663.7610474,-765.05896
-2069.345215,663.7807617,-765.0709229
-2069.394287,663.8047485,-765.0853882
-2069.443115,663.8302612,-765.09729
-2069.494385,663.8522949,-765.0995483
-2069.550537,663.8672485,-765.0874023
-2069.611816,663.8752441,-765.0612183
-2069.677979,663.8790283,-765.0252686
-2069.748047,663.8822021,-764.9849243
-2069.820557,663.8882446,-764.9454956
-2069.894531,663.8985596,-764.9107666
-2069.968994,663.9127197,-764.8825684
-2070.043945,663.9298096,-764.8617554
-2070.118408,663.9501953,-764.8490601
-2070.192139,663.9759521,-764.8446655
-2070.265137,664.0105591,-764.8486938
-2070.337158,664.0581665,-764.8606567
-2070.409424,664.1225586,-764.880127
-2070.483887,664.2059937,-764.9064941
-2070.562256,664.3082886,-764.9380493
-2070.64624,664.4265137,-764.9718628
-2070.737793,664.5567017,-765.003418
-2070.836914,664.696228,-765.0292969
-2070.943848,664.8460693,-765.0494995
-2071.057129,665.0078125,-765.0657959
-2071.178223,665.178894,-765.0778198
-2071.308594,665.3518066,-765.081665
-2071.447754,665.5162964,-765.0727539
-2071.592773,665.6650391,-765.0499878
-2071.736084,665.7946777,-765.0183716
-2071.869385,665.9031372,-764.9848022
-2071.984375,665.9882202,-764.9562988
-2072.076416,666.0487671,-764.9386597
-2072.141357,666.0861816,-764.9360962
-2072.17627,666.1040649,-764.9506836
-2072.179199,666.1072388,-764.9829102
-2072.146729,666.0996094,-765.0323486
-2072.075928,666.0838013,-765.0983276
-2071.963379,666.0609131,-765.1796875
-2071.806641,666.0322266,-765.2739258
-2071.603027,665.9993896,-765.3768311
-2071.35083,665.9647827,-765.4818726
-2071.049072,665.9316406,-765.581604
-2070.697266,665.9026489,-765.6694336
-2070.294678,665.8792114,-765.7404175
-2069.840332,665.8604126,-765.7918701
-2069.331543,665.8421631,-765.822937
-2068.764893,665.8169556,-765.8330688
-2068.135986,665.7736206,-765.8206787
-2067.441406,665.6984253,-765.7833252
-2066.679199,665.579895,-765.7194824
-2065.847656,665.413208,-765.6310425
-2064.947754,665.2018433,-765.5221558
-2063.981445,664.9564819,-765.3965454
-2062.95459,664.6949463,-765.2568359
-2061.871338,664.4379272,-765.1034546
-2060.73291,664.1992798,-764.9354858
-2059.536377,663.9797363,-764.7540894
-2058.277588,663.7701416,-764.5634766
-2056.951172,663.5587158,-764.3674927
-2055.552734,663.3331909,-764.1689453
-2054.080811,663.0802612,-763.9682617
-2052.5354,662.7855225,-763.7608032
-2050.912598,662.4364624,-763.5385742
-2049.200928,662.0255127,-763.2935181
-2047.386353,661.552063,-763.0180054
-2045.458008,661.0217896,-762.7022705
-2043.4104,660.4458618,-762.3348389
-2041.244141,659.8395996,-761.9064331
-2038.963989,659.2214966,-761.4121704
-2036.576904,658.6115723,-760.8525391
-2034.090942,658.0297852,-760.2313232
-2031.513062,657.4938354,-759.5522461
-2028.846436,657.0170288,-758.8168945
-2026.087646,656.6073608,-758.0245972
