X3,Y3,Z3
-878.2985229,413.3375854,-750.6824951
-878.265625,413.3330078,-750.6625977
-878.2338867,413.3301086,-750.6431885
-878.2044067,413.3292542,-750.6248779
-878.1782837,413.3301086,-750.6074829
-878.1557007,413.3319397,-750.5908203
-878.1365967,413.3334656,-750.574707
-878.1202393,413.3330078,-750.5588379
-878.105835,413.3286438,-750.5425415
-878.0922852,413.3186035,-750.5258789
-878.0787354,413.3021851,-750.508728
-878.0643311,413.2799377,-750.4914551
-878.0487671,413.253479,-750.473877
-878.0322876,413.224884,-750.4552612
-878.0154419,413.1958923,-750.434082
-877.9994507,413.1677551,-750.4088135
-877.9857178,413.141449,-750.3787231
-877.9749756,413.1175842,-750.3446045
-877.9672241,413.0969238,-750.3081055
-877.9619751,413.0801086,-750.2714233
-877.9584351,413.067749,-750.2359619
-877.9556885,413.0600281,-750.2020264
-877.9532471,413.0566711,-750.1692505
-877.9507446,413.0570374,-750.1369019
-877.9484863,413.0603027,-750.1045532
-877.9469604,413.06604,-750.0721436
-877.9466553,413.0737305,-750.0396729
-877.9478149,413.0831909,-750.0074463
-877.9508667,413.0942688,-749.9764404
-877.9557495,413.1066895,-749.9478149
-877.9619751,413.1204224,-749.9231567
-877.9683838,413.1359558,-749.9035645
-877.9738159,413.1540222,-749.890625
-877.9768677,413.1750793,-749.8859863
-877.975769,413.198761,-749.8919067
-877.9689331,413.2239685,-749.9110107
-877.9551392,413.2493286,-749.9454346
-877.9346924,413.2741699,-749.9946289
-877.909729,413.2989807,-750.0540161
-877.885498,413.3252869,-750.1142578
-877.8679199,413.35495,-750.164856
-877.8604126,413.3884888,-750.1997681
-877.8613892,413.4242554,-750.2216797
-877.8656616,413.4590454,-750.2393188
-877.8671875,413.489624,-750.2619019
-877.8618774,413.5140381,-750.2940063
-877.8496094,413.5321045,-750.333252
-877.9000244,413.5667419,-750.3109741
-877.9536133,413.5992432,-750.2731934
-877.9944458,413.6254883,-750.1784058
-878.0292358,413.6474304,-750.0931396
-878.0524292,413.6608887,-750.0257568
-878.0617065,413.6635742,-749.9801025
-878.0582275,413.6551208,-749.9539185
-878.0457153,413.6370239,-749.9404907
-878.0287476,413.6116943,-749.9318848
-878.0112915,413.5818176,-749.9215698
-877.9955444,413.5498657,-749.9059448
-877.9819946,413.5178223,-749.8837891
-877.9706421,413.487854,-749.854248
-877.9610596,413.4617004,-749.817627
-877.9528198,413.4405823,-749.7745361
-877.947998,413.426239,-749.7216187
-877.9506836,413.4204102,-749.6526489
-877.9634399,413.4234619,-749.5640259
-877.9860229,413.4335938,-749.4579468
-878.0152588,413.4475708,-749.3417358
-877.9312744,413.3994141,-749.4776611
-877.8466797,413.3534241,-749.611145
-877.890686,413.4008179,-749.4524536
-877.9188843,413.4366455,-749.3181763
-877.9240112,413.4550171,-749.2211914
-877.9063721,413.4553223,-749.1618652
-877.8724976,413.4412842,-749.1308594
-877.8317871,413.4187622,-749.1141968
-877.7926636,413.3925781,-749.0995483
-877.7606201,413.3655396,-749.0793457
-877.7385864,413.3386841,-749.0494995
-877.7281494,413.3122864,-749.0080566
-877.7289429,413.2865906,-748.9542236
-877.739502,413.2614746,-748.8878174
-877.7567749,413.2369385,-748.8101807
-877.7762451,413.212677,-748.7254639
-877.7913208,413.1882324,-748.6412964
-877.7960205,413.1632996,-748.5655518
-877.7874756,413.1382446,-748.5018311
-877.7665405,413.1143188,-748.4484253
-877.7359009,413.092804,-748.4017334
-877.6986084,413.0743103,-748.3582153
-877.6572266,413.0585327,-748.3161621
-877.6141357,413.0451355,-748.2749023
-877.5730591,413.0352783,-748.2330933
-877.5379639,413.0309753,-748.1889648
-877.5113525,413.0339355,-748.1419067
-877.4937744,413.0450134,-748.0922852
-877.484375,413.0640259,-748.0408325
-877.4812622,413.09021,-747.9888916
-877.4811401,413.1221924,-747.9390259
-877.4801636,413.1578369,-747.8946533
-877.475708,413.1950378,-747.8582153
-877.4673462,413.2322998,-747.8295898
-877.4555054,413.2686462,-747.8078003
-877.4411011,413.3035583,-747.7913818
-877.4268799,413.3377075,-747.7765503
-877.4164429,413.3719177,-747.7592773
-877.4126587,413.4062195,-747.7375488
-877.4161377,413.4395752,-747.7113647
-877.4255371,413.4698792,-747.6832886
-877.4373169,413.4944458,-747.6582642
-877.447876,413.5109558,-747.6418457
-877.4541626,413.5182495,-747.6378174
-877.4545898,413.5163269,-747.6472168
-877.4499512,413.5059814,-747.6660767
-877.4421997,413.4884644,-747.6878052
-877.4320068,413.4642639,-747.7084351
-877.4188843,413.4333801,-747.7283325
-877.4036865,413.3967285,-747.7470703
-877.3884277,413.355835,-747.763855
-877.3745728,413.3117981,-747.7786865
-877.3619385,413.2649536,-747.7946167
-877.348938,413.2153931,-747.815979
-877.3336182,413.1634216,-747.8471069
-877.3132935,413.109375,-747.8920288
-877.2838745,413.0523376,-747.9562378
-877.2421875,412.991333,-748.0432129
-877.1880493,412.9270325,-748.1497192
-877.1266479,412.8632202,-748.2633667
-877.0886841,412.8002014,-748.34729
-877.0645752,412.7469177,-748.4055176
-877.1370239,412.7641907,-748.2961426
-877.1987305,412.776123,-748.2068481
-877.2437744,412.7802734,-748.1487427
-877.2716064,412.7763672,-748.1229858
-877.2849121,412.7654114,-748.1248169
-877.2874146,412.7489929,-748.1473999
-877.28302,412.7286682,-748.1845703
-877.2746582,412.7058411,-748.2320557
-877.2642822,412.6814575,-748.2872314
-877.2523804,412.656189,-748.3491211
-877.2385254,412.6304626,-748.4174194
-877.2216187,412.6046143,-748.4920654
-877.2009277,412.5791016,-748.5722046
-877.1774292,412.5548401,-748.6542969
-877.1542969,412.5334473,-748.7323608
-877.1351318,412.5166931,-748.8002319
-877.1220093,412.5058899,-748.8547974
-877.1153564,412.5019226,-748.8963623
-877.114563,412.5050049,-748.9277954
-877.1196899,412.5154114,-748.9519653
-877.1303711,412.5326843,-748.9714966
-877.1444702,412.5552979,-748.9905396
-877.1587524,412.5810242,-749.0127563
-877.1707764,412.6078491,-749.0386963
-877.1790161,412.6341553,-749.0670776
-877.1834106,412.6586914,-749.0958252
-877.1842041,412.6809692,-749.1231079
-877.182251,412.7007446,-749.147522
-877.1783447,412.7177124,-749.1680908
-877.173645,412.7314453,-749.1842651
-877.1693726,412.7416687,-749.1963501
-877.166626,412.7485352,-749.2052002
-877.1657715,412.7525635,-749.2124634
-877.1663208,412.7542114,-749.2200317
-877.1673584,412.7539368,-749.2290039
-877.1674805,412.7521973,-749.239563
-877.1659546,412.7498474,-749.2512817
-877.1626587,412.7481079,-749.2627563
-877.1580811,412.7483215,-749.2728882
-877.1525879,412.7514343,-749.2805786
-877.1463623,412.757843,-749.2856445
-877.1394043,412.7672424,-749.2886963
-877.1316528,412.7788696,-749.2913208
-877.1229858,412.7922668,-749.2947998
-877.1134033,412.8074036,-749.2996826
-877.1028442,412.8242188,-749.3057861
-877.0911865,412.8422546,-749.3126831
-877.0783691,412.8608704,-749.3197632
-877.06427,412.8794861,-749.326355
-877.048645,412.8975525,-749.3317261
-877.0310059,412.9150696,-749.3357544
-877.0109253,412.9321899,-749.3394775
-876.9876709,412.9490662,-749.3457031
-876.9605713,412.9651184,-749.3581543
-876.9287109,412.9787292,-749.3812866
-876.8911743,412.9874268,-749.4187622
-876.8478394,412.988739,-749.4729614
-876.7996216,412.9812927,-749.5426025
-876.7492676,412.9653931,-749.6221313
-876.7003784,412.9427795,-749.7033691
-876.6560059,412.9154053,-749.7783813
-876.6195679,412.8851929,-749.8401489
