R_GM,R_ST,R_BF,L_GM,L_ST,L_BF,
7.99E-06,6.27E-06,-3.46E-05,-4.57E-06,9.19E-06,-1.12E-05,
6.56E-06,5.85E-06,-3.18E-05,9.27E-07,1.04E-05,-9.57E-06,
4.89E-06,8.12E-06,-3.19E-05,9.17E-06,5.87E-06,-9.22E-06,
5.13E-06,7.79E-06,-3.30E-05,1.51E-05,9.47E-07,-8.76E-06,
7.28E-06,5.05E-06,-3.21E-05,1.84E-05,-1.28E-06,-6.77E-06,
8.86E-06,4.86E-06,-3.06E-05,2.31E-05,-6.28E-07,-4.71E-06,
8.06E-06,7.19E-06,-3.11E-05,2.75E-05,4.82E-07,-5.14E-06,
6.38E-06,9.72E-06,-3.30E-05,2.96E-05,5.70E-07,-5.27E-06,
5.40E-06,1.16E-05,-3.60E-05,3.14E-05,-1.73E-06,-2.34E-06,
4.41E-06,1.26E-05,-3.85E-05,3.60E-05,-2.34E-06,2.40E-06,
4.47E-06,1.24E-05,-3.95E-05,4.15E-05,1.40E-07,5.60E-06,
6.96E-06,1.07E-05,-4.12E-05,4.56E-05,-1.10E-06,5.64E-06,
8.70E-06,8.04E-06,-4.21E-05,4.76E-05,-8.77E-06,2.68E-06,
7.33E-06,4.67E-06,-4.00E-05,4.76E-05,-1.68E-05,-1.27E-06,
5.48E-06,1.58E-06,-3.76E-05,4.68E-05,-2.02E-05,-3.19E-06,
6.07E-06,2.01E-06,-3.92E-05,4.76E-05,-2.01E-05,-3.32E-06,
7.44E-06,6.00E-06,-4.23E-05,5.07E-05,-2.18E-05,-4.07E-06,
6.44E-06,9.56E-06,-4.45E-05,5.18E-05,-2.75E-05,-5.30E-06,
4.61E-06,8.92E-06,-4.63E-05,5.11E-05,-3.00E-05,-5.91E-06,
6.03E-06,2.88E-06,-4.72E-05,5.06E-05,-2.74E-05,-6.80E-06,
9.58E-06,-4.03E-06,-4.53E-05,5.05E-05,-2.52E-05,-7.43E-06,
1.02E-05,-3.76E-06,-4.12E-05,5.09E-05,-2.47E-05,-4.95E-06,
7.01E-06,1.63E-07,-3.73E-05,5.15E-05,-2.11E-05,-8.95E-07,
4.85E-06,-2.71E-07,-3.82E-05,5.14E-05,-1.60E-05,2.00E-06,
4.21E-06,-1.88E-07,-4.37E-05,4.76E-05,-1.64E-05,3.50E-06,
3.27E-06,-1.69E-07,-5.00E-05,3.91E-05,-1.79E-05,1.89E-06,
2.92E-06,-2.27E-06,-5.57E-05,2.98E-05,-1.33E-05,-2.40E-06,
3.70E-06,-1.51E-06,-5.84E-05,2.39E-05,-7.57E-06,-5.36E-06,
5.96E-06,9.11E-07,-5.70E-05,1.98E-05,-7.92E-06,-4.14E-06,
8.12E-06,3.98E-06,-5.62E-05,1.45E-05,-9.58E-06,-2.34E-06,
7.93E-06,8.87E-06,-5.83E-05,9.70E-06,-6.75E-06,-4.35E-06,
7.07E-06,1.46E-05,-5.94E-05,6.84E-06,-4.16E-06,-6.79E-06,
7.37E-06,1.78E-05,-5.75E-05,4.92E-06,-3.61E-06,-5.81E-06,
6.79E-06,1.72E-05,-5.51E-05,2.78E-06,-9.53E-07,-4.62E-06,
4.94E-06,1.27E-05,-5.33E-05,1.75E-06,5.00E-06,-4.27E-06,
3.46E-06,9.15E-06,-5.15E-05,3.96E-06,8.84E-06,-5.22E-06,
3.28E-06,9.67E-06,-5.13E-05,6.14E-06,7.45E-06,-5.49E-06,
2.57E-06,9.18E-06,-5.29E-05,4.01E-06,5.65E-06,-4.79E-06,
7.26E-07,5.56E-06,-5.38E-05,-9.68E-07,6.36E-06,-5.06E-06,
-9.49E-08,2.58E-06,-5.23E-05,-4.85E-06,6.50E-06,-5.69E-06,
1.78E-06,2.02E-06,-4.93E-05,-5.95E-06,3.11E-06,-7.56E-06,
4.21E-06,2.65E-06,-4.62E-05,-4.52E-06,-2.35E-06,-1.15E-05,
4.55E-06,5.19E-06,-4.44E-05,-3.15E-06,-6.05E-06,-1.41E-05,
3.71E-06,6.99E-06,-4.41E-05,-2.11E-06,-4.81E-06,-1.20E-05,
3.04E-06,5.92E-06,-4.53E-05,9.46E-07,-1.91E-06,-7.57E-06,
