R_GM,R_ST,R_BF,L_GM,L_ST,L_BF
2.10E-05,1.72E-05,-3.97E-05,1.94E-05,-9.15E-06,-8.89E-05
1.96E-05,2.44E-05,-4.41E-05,1.88E-05,-1.61E-05,-9.83E-05
1.81E-05,3.40E-05,-4.55E-05,1.73E-05,-2.12E-05,-0.000105606
1.64E-05,4.08E-05,-4.10E-05,1.55E-05,-2.37E-05,-0.000109495
1.39E-05,4.14E-05,-3.24E-05,1.47E-05,-2.51E-05,-0.000113136
1.02E-05,3.79E-05,-2.56E-05,1.43E-05,-2.49E-05,-0.000117918
7.17E-06,3.07E-05,-2.31E-05,1.39E-05,-2.55E-05,-0.00011948
8.73E-06,2.33E-05,-2.39E-05,1.38E-05,-2.95E-05,-0.000115002
1.34E-05,2.07E-05,-2.64E-05,1.44E-05,-3.53E-05,-0.000110698
1.49E-05,1.94E-05,-2.73E-05,1.61E-05,-3.85E-05,-0.000110781
1.22E-05,1.58E-05,-2.52E-05,1.76E-05,-3.76E-05,-0.000113789
9.08E-06,1.27E-05,-2.21E-05,1.76E-05,-3.30E-05,-0.000117544
8.31E-06,9.11E-06,-2.10E-05,1.62E-05,-2.53E-05,-0.000118356
8.83E-06,2.92E-06,-2.59E-05,1.39E-05,-1.64E-05,-0.00011398
8.78E-06,-1.18E-06,-3.59E-05,1.21E-05,-1.21E-05,-0.00010621
1.01E-05,-4.17E-06,-4.65E-05,1.19E-05,-1.61E-05,-0.000101397
1.41E-05,-9.19E-06,-5.57E-05,1.30E-05,-2.24E-05,-0.00010292
1.80E-05,-1.29E-05,-6.12E-05,1.33E-05,-2.36E-05,-0.000106569
1.90E-05,-1.29E-05,-6.31E-05,1.23E-05,-1.93E-05,-0.000105516
1.77E-05,-1.11E-05,-6.49E-05,1.05E-05,-1.48E-05,-0.000100336
1.62E-05,-1.05E-05,-6.75E-05,7.89E-06,-1.26E-05,-9.88E-05
1.58E-05,-1.08E-05,-7.04E-05,5.26E-06,-1.11E-05,-0.000101135
1.58E-05,-8.73E-06,-7.26E-05,2.22E-06,-7.85E-06,-0.000100408
1.56E-05,-5.11E-06,-7.22E-05,-1.48E-06,-3.69E-06,-9.38E-05
1.51E-05,-3.11E-06,-6.95E-05,-4.93E-06,-2.59E-06,-8.66E-05
1.42E-05,-1.61E-06,-6.65E-05,-7.22E-06,-4.08E-06,-8.27E-05
1.31E-05,1.49E-06,-6.39E-05,-8.26E-06,-3.31E-06,-7.87E-05
1.31E-05,3.97E-06,-6.00E-05,-7.62E-06,3.87E-07,-6.94E-05
1.42E-05,5.40E-06,-5.42E-05,-4.52E-06,2.48E-06,-5.37E-05
1.46E-05,1.06E-05,-4.92E-05,-6.30E-07,1.05E-07,-3.54E-05
1.34E-05,2.07E-05,-4.58E-05,1.20E-06,-3.67E-06,-1.61E-05
1.08E-05,3.07E-05,-4.09E-05,3.02E-07,-3.21E-06,6.96E-06
7.08E-06,3.66E-05,-2.98E-05,-2.27E-06,6.03E-07,3.04E-05
4.29E-06,3.81E-05,-1.10E-05,-4.15E-06,3.06E-06,4.57E-05
2.69E-06,3.74E-05,8.52E-06,-2.55E-06,3.97E-06,5.36E-05
1.09E-06,3.69E-05,1.77E-05,6.87E-07,4.07E-06,6.05E-05
1.92E-07,3.41E-05,1.59E-05,7.76E-07,3.13E-06,6.64E-05
-1.46E-06,2.78E-05,1.35E-05,-1.64E-06,3.71E-06,6.83E-05
-4.59E-06,2.18E-05,1.14E-05,-1.88E-06,8.13E-06,6.65E-05
-5.52E-06,1.67E-05,-1.41E-06,7.00E-07,1.38E-05,6.49E-05
-2.86E-06,1.29E-05,-2.34E-05,4.00E-06,1.61E-05,6.46E-05
